programming  | 11   | 12,6   | Up      
java         | 4    | 9,1    | Down    
teste        | 5    | 2,8    | Right   
lines        | 5    | 5,5    | Left    
civil        | 5    | 6,11   | Down    
test         | 4    | 2,8    | Right   
stack        | 5    | 1,1    | Right   

S T A C K _ _ _ _ _ _ _ _ _ _ 
_ _ _ _ _ G _ T E S T E _ _ _ 
_ _ _ _ _ N _ _ _ _ _ _ _ _ _ 
_ _ _ _ _ I _ _ _ _ _ _ _ _ _ 
S E N I L M _ _ _ _ _ _ _ _ _ 
_ _ _ _ _ M _ _ _ _ C _ _ _ _ 
_ _ _ _ _ A _ _ _ _ I _ _ _ _ 
_ _ _ _ _ R _ _ _ _ V _ _ _ _ 
J _ _ _ _ G _ _ _ _ I _ _ _ _ 
A _ _ _ _ O _ _ _ _ L _ _ _ _ 
V _ _ _ _ R _ _ _ _ _ _ _ _ _ 
A _ _ _ _ P _ _ _ _ _ _ _ _ _ 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
