java         | 4    | 9,1    | Down    
words        | 5    | 11,11  | UpLeft  
lines        | 5    | 5,5    | Left    
civil        | 5    | 6,11   | Down    
test         | 4    | 2,8    | Right   
stack        | 5    | 1,1    | Right   

S T A C K _ _ _ _ _ _ _ _ _ _ 
_ _ _ _ _ _ _ T E S T _ _ _ _ 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
S E N I L _ _ _ _ _ _ _ _ _ _ 
_ _ _ _ _ _ _ _ _ _ C _ _ _ _ 
_ _ _ _ _ _ S _ _ _ I _ _ _ _ 
_ _ _ _ _ _ _ D _ _ V _ _ _ _ 
J _ _ _ _ _ _ _ R _ I _ _ _ _ 
A _ _ _ _ _ _ _ _ O L _ _ _ _ 
V _ _ _ _ _ _ _ _ _ W _ _ _ _ 
A _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
